link,pricePerMonth,address,numRooms,dateListed
https://www.zoopla.co.uk/to-rent/details/50769048,"['', '', '', '', '', '', '', '', '4117', 'pcm', '', '(950', 'pw)', '']",Fitzgerald Court Angel N1,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769046,"['', '', '', '', '', '', '', '', '2579', 'pcm', '', '(595', 'pw)', '']",Dingley Road Islington EC1V,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769042,"['', '', '', '', '', '', '', '', '1550', 'pcm', '', '(358', 'pw)', '']",Cumberland Road Ashford Surrey TW15,3,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769038,"['', '', '', '', '', '', '', '', '1387', 'pcm', '', '(320', 'pw)', '']",Allitsen Road St John's Wood NW8,1,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769041,"['', '', '', '', '', '', '', '', '1375', 'pcm', '', '(317', 'pw)', '']",Park Lane Croydon Surrey CR0,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/45577165,"['', '', '', '', '', '', '', '', '2600', 'pcm', '', '(600', 'pw)', '']",Gooch House Glenthorne Road Hammersmith W6,2,2019-01-08
https://www.zoopla.co.uk/to-rent/details/49970145,"['', '', '', '', '', '', '', '', '1625', 'pcm', '', '(375', 'pw)', '']",Pelham Court Fulham Road Chelsea SW3,0,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769017,"['', '', '', '', '', '', '', '', '2200', 'pcm', '', '(508', 'pw)', '']",Roehampton Vale Roehampton SW15,3,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769010,"['', '', '', '', '', '', '', '', '2100', 'pcm', '', '(485', 'pw)', '']",Mandarin Court Edward Street London SE8,4,2019-01-08
https://www.zoopla.co.uk/to-rent/details/50769016,"['', '', '', '', '', '', '', '', '1500', 'pcm', '', '(346', 'pw)', '']",Putney Bridge Road Wandsworth Town SW18,1,2019-01-08
