link,price,address,numRooms,dateListed
https://www.zoopla.co.uk/for-sale/details/50766772,1400000,Sugden Road London SW11,5,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766769,775000,Osborn House Osborn Terrace London SE3,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766770,725000,Osborn House Osborn Terrace London SE3,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766752,1250000,Bridgewalk Heights 80 Weston Street London SE1,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50766743,565000,Granville Gardens London W5,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766750,474995,Longfield Avenue Enfield EN3,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766731,409995,Holmwood Road Enfield EN3,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766710,775000,Orchardmede London N21,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766607,1100000,Vine Grove Uxbridge UB10,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766587,475000,Caterham Drive Old Coulsdon Surrey CR5,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766441,725000,Cuckoo Dene London W7,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/48961250,2375000,Kingsley Way Hampstead Garden Suburb London N2,5,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50766340,435000,Castleton House Beaufort Park London NW9,0,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766335,430000,Greatorex Street Aldgate East/Brick Lane E1,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766326,1400000,Metro Central Heights Elephant Castle London SE1,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766330,650000,Derwent Gardens Redbridge Essex IG4,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766296,375000,Hedgemans Road Dagenham RM9,0,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766286,425000,Lovibonds Avenue Yiewsley UB7,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766290,260000,Manor Court Enfield EN1,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766218,NaaN,The Boltons Chelsea SW10,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766196,575000,Collyer Avenue Croydon CR0,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766189,720000,Martell Road Dulwich SE21,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766086,535000,Breakspears Road Brockley SE4,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766069,450000,Chadwell Heath Lane Chadwell Heath Romford RM6,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766056,675000,Station Road Hampton TW12,0,2019-01-11
